,Autore,Editore,Prezzo,Anno,Nome_Categoria,num_mi_piace,num_acquisti,storia_vera,illustrato,num_pagine,saga
0,0,0,30.0,2019,0,5,31,1,1,301,1
1,1,0,12.0,2019,1,5,17,1,1,245,0
2,2,1,10.0,2018,0,14,39,0,1,718,0
3,3,0,12.0,2019,1,14,48,1,1,954,0
4,4,0,12.0,2018,1,7,22,0,1,389,0
5,1,0,12.0,2018,1,14,18,1,1,725,1
6,5,2,12.0,2019,0,4,36,0,0,217,0
7,4,0,12.0,2019,1,0,37,0,0,832,0
8,6,1,8.0,2018,0,14,13,1,0,864,0
9,7,0,12.0,2017,0,18,37,0,0,791,1
10,7,0,12.0,2017,0,6,18,1,1,949,0
11,8,3,12.0,2018,1,6,28,0,1,368,1
12,8,0,12.0,2017,1,2,24,0,0,735,0
13,8,4,8.0,2018,1,10,27,0,0,762,0
14,9,3,12.0,2019,0,10,37,1,1,754,1
15,10,3,13.0,2019,1,4,48,0,0,865,1
16,11,2,12.0,2017,1,17,22,0,1,419,1
17,12,5,20.0,2016,2,9,45,0,0,376,1
18,12,5,20.0,2019,2,6,42,1,0,409,0
19,12,5,20.0,2019,2,9,21,1,0,228,0
20,12,5,20.0,2020,2,13,30,1,1,635,0
21,12,5,20.0,2019,2,17,2,1,1,310,1
22,12,5,20.0,2015,2,3,23,0,0,269,1
23,13,0,20.0,2011,3,16,0,0,1,417,1
24,14,0,21.0,2017,4,17,25,0,1,316,0
25,12,5,20.0,2014,2,5,42,1,0,556,0
26,15,0,16.0,2017,5,6,12,0,1,898,1
27,16,0,12.0,2016,5,6,23,1,1,498,1
28,17,0,16.5,2016,5,10,2,0,0,692,0
29,16,0,13.0,2016,5,3,9,0,1,576,1
30,18,0,14.0,2016,0,18,4,0,0,856,1
31,19,0,14.0,2016,5,1,43,0,0,475,1
32,20,0,13.0,2020,6,16,18,1,1,672,0
33,21,0,20.0,2017,3,1,43,1,0,679,1
34,22,0,13.0,2017,6,7,42,0,0,257,0
35,21,0,20.0,2018,3,19,34,0,1,838,1
36,15,0,14.0,2018,5,16,41,0,1,421,1
37,22,0,13.0,2019,6,7,35,1,1,611,0
38,23,0,16.0,2019,6,4,6,0,0,734,0
39,24,0,20.0,2020,0,3,23,1,1,770,0
40,25,0,22.0,2020,6,13,20,1,1,289,0
41,14,0,18.0,2020,4,0,8,0,1,736,1
42,26,0,20.0,2020,3,11,8,1,0,595,1
43,27,3,14.0,2014,4,16,10,0,0,524,0
44,28,3,12.0,2014,5,11,6,0,0,756,1
45,29,3,10.0,2019,5,10,20,0,1,891,0
46,30,1,10.0,2013,4,3,4,1,1,795,1
47,31,1,9.5,2014,5,3,17,1,1,367,1
48,32,1,9.5,2013,0,12,4,1,0,547,1
49,33,1,13.0,2020,3,16,16,1,1,593,0
50,34,6,17.0,2020,3,6,44,1,0,397,1
51,35,7,20.0,2019,6,13,37,1,1,282,0
52,35,7,20.0,2019,6,1,25,1,0,694,1
53,12,5,20.0,2018,2,10,12,0,0,877,0
54,29,4,4.9,2018,5,12,19,1,0,922,0
55,36,8,18.0,2019,4,1,17,1,1,663,1
56,37,2,16.0,2019,4,3,27,0,0,307,1
57,38,2,50.0,2020,5,13,12,1,1,755,1
58,39,9,10.0,2018,5,15,17,1,0,750,1
59,40,10,16.0,2020,5,2,6,0,1,384,1
60,40,10,16.0,2019,5,6,33,0,0,585,0
61,41,10,20.0,2019,5,9,32,0,0,405,0
62,42,11,14.0,2013,5,15,1,1,0,418,0
63,43,12,15.0,2014,6,8,24,1,1,286,0
64,38,2,11.0,2012,5,8,18,1,0,577,1
65,38,2,13.5,2013,5,11,47,1,1,879,1
66,38,2,14.0,2017,3,19,37,0,1,714,0
67,37,2,16.0,2017,4,8,48,0,0,669,0
68,37,2,16.0,2018,4,15,20,1,1,337,0
69,44,13,19.0,2018,4,10,27,0,1,701,1
70,45,14,16.0,2019,4,7,25,0,1,699,0
71,46,15,15.5,2020,3,17,19,0,0,346,0
72,47,16,9.2,2014,3,9,31,1,0,238,0
73,47,16,25.0,2016,3,14,39,1,1,861,0
74,47,16,10.5,2020,3,8,28,0,0,933,1
75,48,17,9.0,2020,3,4,20,1,0,427,1
76,49,18,10.0,2020,3,15,23,0,0,441,0
77,50,19,8.0,2020,7,19,0,1,1,267,1
78,51,19,7.0,2010,7,19,10,0,0,249,1
79,50,19,8.0,2020,7,7,25,0,1,963,1
80,51,19,7.0,2010,7,9,44,1,0,807,1
81,51,19,7.0,2010,7,18,9,1,0,711,0
82,50,19,8.0,2020,7,16,34,0,0,533,0
83,52,20,10.0,2020,3,18,39,0,1,986,0
84,12,21,25.0,2019,4,17,32,1,1,498,0
85,53,21,30.0,2019,3,15,22,1,0,482,0
86,54,21,30.0,2020,3,10,13,0,1,462,1
87,55,21,30.0,2020,3,2,6,1,0,854,0
88,35,7,20.0,2013,6,3,47,1,1,998,1
89,35,7,20.0,2019,6,15,48,1,1,245,0
90,56,22,13.0,2017,3,11,4,1,0,645,1
91,57,0,18.0,2017,5,12,13,0,1,407,1
92,56,22,13.0,2008,3,1,36,0,0,275,1
93,58,4,5.0,2018,1,14,45,1,1,591,0
94,59,23,5.0,2020,7,4,9,1,1,771,1
95,59,23,5.0,2020,7,10,2,0,1,523,0
96,59,23,5.0,2020,7,12,8,1,1,807,0
97,60,24,25.5,2017,7,2,44,0,1,411,0
98,39,9,11.0,2018,5,5,27,1,0,463,1
99,39,9,12.0,2018,5,9,8,0,1,326,0
100,39,9,15.0,2018,5,0,38,0,1,421,0
101,39,9,16.0,2018,5,12,28,0,0,469,1
102,39,9,14.0,2018,5,3,41,0,1,781,1
103,39,9,15.0,2018,5,13,36,0,0,807,1
104,61,25,17.0,2020,3,14,12,0,1,916,0
105,57,11,12.0,2011,0,15,30,0,1,757,1
106,54,19,37.0,2020,6,6,34,1,0,297,0
107,41,25,16.0,2009,0,11,9,1,0,206,1
108,39,9,40.0,2020,0,3,11,1,1,526,0
109,29,6,49.0,2018,0,15,34,0,0,680,0
110,42,8,23.0,2015,0,3,12,0,0,294,1
111,55,3,4.0,2020,1,7,42,1,1,299,0
112,15,26,45.0,2018,1,0,11,1,1,497,0
113,20,13,29.0,2014,6,2,14,0,0,571,1
114,14,12,5.0,2012,6,10,12,1,0,389,1
115,22,19,25.0,2016,6,0,35,0,0,977,0
116,2,23,16.0,2014,2,17,24,0,1,972,0
117,53,21,22.0,2017,6,2,13,1,0,536,0
118,0,12,37.0,2015,2,5,30,0,0,883,0
119,7,2,49.0,2011,5,16,25,0,1,318,1
120,36,2,28.0,2012,2,15,19,1,1,959,0
121,11,9,41.0,2010,3,10,42,0,1,565,0
122,37,4,9.0,2010,6,10,45,1,0,453,0
123,49,18,41.0,2016,2,3,38,1,1,649,0
124,54,15,38.0,2013,0,12,14,0,0,487,0
125,46,19,28.0,2011,5,14,33,1,0,578,0
126,4,12,34.0,2014,4,8,42,0,1,667,0
127,6,4,19.0,2012,5,14,36,1,0,599,0
128,61,25,13.0,2017,5,13,16,0,1,626,1
129,13,20,17.0,2009,4,5,21,1,0,752,1
130,39,19,16.0,2010,2,19,42,0,0,910,1
131,22,24,13.0,2018,6,15,44,1,1,926,0
132,22,4,26.0,2009,3,9,9,0,0,795,1
133,54,1,33.0,2010,6,7,38,1,1,945,1
134,14,4,29.0,2009,6,15,26,1,0,935,0
135,34,8,8.0,2011,2,7,16,1,1,249,0
136,3,11,45.0,2010,7,7,45,1,0,583,1
137,38,22,23.0,2012,6,16,31,0,0,870,0
138,36,8,7.0,2015,7,15,9,0,1,489,0
139,24,5,27.0,2010,2,3,29,1,1,399,1
140,45,22,28.0,2012,0,6,10,1,1,597,1
141,39,13,49.0,2008,0,11,17,0,1,245,1
142,3,22,18.0,2016,4,2,25,0,1,663,0
143,13,4,30.0,2009,2,9,31,0,1,662,1
144,55,16,27.0,2016,5,12,23,0,1,772,1
145,51,18,43.0,2018,7,4,6,1,0,488,0
146,39,16,12.0,2019,1,15,13,1,0,338,1
147,33,4,46.0,2014,1,13,10,1,1,723,0
148,31,15,21.0,2020,7,12,20,1,0,628,1
149,30,12,27.0,2008,2,19,22,1,1,688,1
150,12,5,8.0,2018,0,7,11,1,0,926,0
151,50,11,7.0,2018,6,11,22,1,1,890,1
152,15,17,42.0,2011,4,11,23,1,0,580,0
153,32,12,26.0,2017,6,15,24,0,1,299,1
154,52,11,39.0,2015,7,19,17,0,1,859,1
155,59,25,30.0,2008,5,17,44,0,1,587,0
156,25,26,6.0,2010,0,14,40,0,1,767,1
157,7,18,33.0,2018,2,12,29,1,0,254,0
158,15,8,20.0,2013,5,0,10,0,0,342,0
159,32,17,38.0,2016,3,6,32,0,0,735,0
160,25,24,25.0,2018,1,10,17,0,1,343,0
161,31,20,4.0,2013,7,19,31,0,1,785,0
162,34,13,19.0,2018,6,16,22,1,1,928,0
163,24,1,6.0,2018,1,8,27,1,0,518,1
164,7,10,15.0,2014,0,2,34,1,0,245,1
165,9,15,12.0,2008,5,11,11,0,1,292,0
166,50,26,33.0,2019,0,6,38,0,0,755,1
167,31,18,41.0,2013,1,15,49,0,0,326,1
168,19,7,38.0,2013,3,8,8,1,1,471,0
169,55,21,15.0,2015,2,9,49,0,1,593,1
170,53,22,16.0,2009,6,5,34,1,1,288,1
171,60,25,48.0,2019,4,18,23,1,1,716,0
172,60,10,25.0,2016,4,8,45,0,0,731,1
173,28,7,23.0,2010,4,8,24,1,1,756,0
174,15,14,49.0,2018,7,0,48,0,0,782,1
175,12,19,15.0,2020,2,11,25,0,1,333,0
176,61,14,7.0,2008,6,4,0,1,0,826,0
177,47,6,21.0,2017,4,6,19,0,1,771,1
178,27,7,23.0,2008,1,3,41,1,1,367,1
179,34,22,12.0,2008,7,2,41,1,0,334,0
180,58,26,34.0,2014,6,9,19,1,0,707,0
181,11,8,31.0,2019,2,3,28,0,1,926,0
182,46,16,20.0,2012,5,8,13,0,1,624,0
183,59,3,30.0,2018,2,6,0,1,0,705,0
184,39,10,36.0,2012,0,1,49,1,0,426,0
185,34,5,13.0,2011,0,8,49,1,0,499,0
186,51,2,16.0,2010,6,18,19,1,1,570,0
187,13,10,37.0,2019,3,3,16,1,1,343,0
188,40,13,31.0,2015,7,0,48,0,1,817,0
189,44,19,46.0,2015,5,12,1,1,0,577,1
190,29,18,22.0,2015,6,11,18,0,1,237,1
191,7,24,26.0,2009,1,13,48,0,1,684,1
192,18,7,28.0,2010,2,9,34,0,1,220,1
193,47,25,11.0,2019,7,7,7,0,1,484,0
194,4,13,4.0,2020,6,11,38,1,1,205,1
195,47,17,9.0,2014,7,5,4,0,0,860,1
196,9,7,18.0,2015,7,3,4,0,1,459,0
197,17,21,18.0,2015,6,12,9,1,0,686,0
198,49,8,40.0,2017,7,7,40,1,1,407,0
199,26,12,40.0,2016,6,3,16,1,0,491,0
200,24,25,46.0,2020,7,12,21,0,1,264,1
201,37,17,48.0,2016,5,6,40,1,0,965,1
202,37,10,46.0,2013,5,13,15,0,1,251,0
203,36,10,11.0,2015,6,6,26,0,0,997,1
204,27,6,20.0,2014,3,11,3,1,0,290,0
